bucket	signature	post_filter_rank	n_steps	score	route_class	max_terminal_heavy_atoms	tags	terminal_reactants
C_triage_fragment_weak	e081fdecd4e580f8	35	18	3.951872800885369e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)O | CC(=O)CC(C)=O | COC(=O)CC(=O)OC
C_triage_fragment_weak	23b2eda9438383c8	36	18	3.898416793256062e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CCOC(=O)C(C)C | COC(=O)CC(=O)OC
C_triage_fragment_weak	f29241b3d631c63f	37	18	3.724491359859586e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(=O)C(C)C | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	256df2956a4fd5d1	53	18	1.7928514195567515e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(=O)C(C)C | O=C(O)CC(=O)O
C_triage_fragment_weak	b3b93cae49262ae2	67	18	1.0244059421929729e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(C)C(=O)O | O=C(Cl)C(=O)Cl | COC(=O)CC(=O)OC
C_triage_fragment_weak	3d1b9b84866de8c5	95	18	3.2092804609383784e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)O | O=C(n1ccnc1)n1ccnc1 | COC(=O)CC(=O)OC
C_triage_fragment_weak	bb808d4d8e1aa177	99	18	2.6251726440559242e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(=O)C(C)C | COC(=O)CC(=O)OC
C_triage_fragment_weak	d95f64bfaa354551	100	18	2.6251726440559242e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)Cl | CC(C)=O | COC(=O)CC(=O)OC
C_triage_fragment_weak	1e2a12f9412dda72	103	18	2.2987280508796653e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(=O)CC(C)=O | CC(C)=O | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	f2c999f9a21324be	104	18	2.292191340122522e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CC(=O)CC(C)=O | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	bec592c11efbe7b7	111	18	1.847081597643881e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)O | CC(C)=O | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	782da96dad56ddca	113	18	1.8287602099476206e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(=O)C(C)C | COC(=O)OC | CC(=O)[O-]
C_triage_fragment_weak	cba0ef63689c77c7	119	18	1.501914419430577e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(=O)C(C)C | CCOC(=O)CC(=O)[O-]
C_triage_fragment_weak	3f129ef4d2de5334	132	18	1.1201588737984745e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)O | CC(=O)CC(C)=O | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	71a14a96853db6f9	133	18	1.1065344099361545e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(=O)CC(C)=O | CC(C)=O | O=C(O)CC(=O)O
C_triage_fragment_weak	0833f569b87412af	134	18	1.1050067612885798e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CCOC(=O)C(C)C | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	8ff904610ec400bf	135	18	1.1033878457404414e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CC(=O)CC(C)=O | O=C(O)CC(=O)O
C_triage_fragment_weak	36cd55e2ffecfb51	144	18	8.891262039329392e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)O | CC(C)=O | O=C(O)CC(=O)O
C_triage_fragment_weak	6194050f3b0553e4	160	18	5.392087759050136e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)O | CC(=O)CC(C)=O | O=C(O)CC(=O)O
