template_id,template,n_examples
43,[#1;H0;D0;+1].[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[CH;D2;+0:13]=[O;H0;D1;+0:14]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH2;D2;+0:13]-[OH;D1;+0:14],42
44,[#8:1]-[C@@H;D3;+0:2](-[OH;D1;+0:6])-[C:5].[OH;D1;+0:3]-[c:4]>>[#8:1]-[C@@H;D3;+0:2](-[O;H0;D2;+0:3]-[c:4])-[C:5].[OH2;D0;+0:6],39
45,[NH2;D1;+0:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:4])-[c:3]>>[N;H0;D1;+0:1]#[C;H0;D2;+0:2]-[c:3].[OH2;D0;+0:4],38
46,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[OH2;D0;+0:13].[OH;D1;+0:12]-[c;H0;D3;+0:15](:[c:14]):[c:16]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[O;H0;D1;+0:12]=[O;H0;D1;+0:13].[c:14]:[cH;D2;+0:15]:[c:16],37
47,[#8:1]-[CH;D3;+0:2](-[OH;D1;+0:6])-[C:5].[C:4]-[OH;D1;+0:3]>>[#8:1]-[C@H;D3;+0:2](-[O;H0;D2;+0:3]-[C:4])-[C:5].[OH2;D0;+0:6],37
48,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[OH2;D0;+0:13].[OH;D1;+0:12]-[c;H0;D3;+0:15](:[c:14]):[c:16]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[O;H0;D1;+0:12]=[O;H0;D1;+0:13].[c:14]:[cH;D2;+0:15]:[c:16],36
49,[#15:1]-[OH;D1;+0:2].[#8:5]-[C:4]-[CH2;D2;+0:3]-[OH;D1;+0:6]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4]-[#8:5].[OH2;D0;+0:6],36
50,[#7:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:4])=[O;H0;D1;+0:5].[NH3;D0;+0:3]>>[#7:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[NH;D1;+0:4].[OH2;D0;+0:5],36
51,[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:6].[O;D1;H0:5]=[C:4]-[OH;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-[C:4]=[O;D1;H0:5].[OH2;D0;+0:6],35
52,[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[OH;D1;+0:10].[NH2;D1;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9]>>[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[NH;D2;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9].[OH2;D0;+0:10],35
53,[O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3].[c:5]:[cH;D2;+0:4]:[c:6]>>[O;D1;H0:1]=[C;H0;D3;+0:2](-[OH;D1;+0:3])-[c;H0;D3;+0:4](:[c:5]):[c:6],34
54,[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:6].[NH3;D0;+0:3].[OH;D1;+0:4]-[OH;D1;+0:5]>>[C:1]-[CH2;D2;+0:2]-[NH2;D1;+0:3].[O;H0;D1;+0:4]=[O;H0;D1;+0:5].[OH2;D0;+0:6],33
