template_id,template,n_examples
876,[C:1]/[C;H0;D3;+0:2](=[CH;D2;+0:4]/[C:5](=[O;D1;H0:6])-[O;D1;H1:7])-[C:8](=[O;D1;H0:9])-[O;D1;H1:10].[OH2;D0;+0:3]>>[C:1]-[C@@;H0;D4;+0:2](-[OH;D1;+0:3])(-[CH2;D2;+0:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7])-[C:8](=[O;D1;H0:9])-[O;D1;H1:10],3
877,[#15:1]-[OH;D1;+0:2].[C:8]-[C;H0;D3;+0:9](=[CH;D2;+0:11]-[C:12])-[CH2;D2;+0:10]-[C@;H0;D4;+0:5](-[C;D1;H3:7])(-[CH;D2;+0:4]=[CH2;D1;+0:3])-[C:6]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]/[CH;D2;+0:4]=[C;H0;D3;+0:5](/[C:6])-[C;D1;H3:7].[C:8]-[C;H0;D3;+0:9](=[CH2;D1;+0:10])-[CH2;D2;+0:11]-[C:12],3
878,[#15:1]-[OH;D1;+0:2].[C:8]/[CH;D2;+0:7]=[C;H0;D3;+0:5](/[C;D1;H3:6])-[CH;D2;+0:4]=[CH2;D1;+0:3]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]/[CH;D2;+0:4]=[C;H0;D3;+0:5](\[C;D1;H3:6])-[CH2;D2;+0:7]-[C:8],3
879,[CH3;D1;+0:4]-[c:5].[O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3]>>[O;D1;H0:1]=[C;H0;D3;+0:2](-[OH;D1;+0:3])-[CH2;D2;+0:4]-[c:5],3
880,[#7;a:1]:[cH;D2;+0:2]:[c:3].[C:7]-[NH2;D1;+0:6].[C:5]-[CH;D2;+0:4]=[O;H0;D1;+0:8]>>[#7;a:1]:[c;H0;D3;+0:2](:[c:3])-[CH;D3;+0:4](-[C:5])-[NH;D2;+0:6]-[C:7].[OH2;D0;+0:8],3
881,[C;D1;H3:8]-[CH2;D2;+0:7]-[C:9](=[O;D1;H0:10])-[O;D1;H1:11].[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>[C:1]-[C@;H0;D4;+0:2](-[OH;D1;+0:3])(-[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[C@H;D3;+0:7](-[C;D1;H3:8])-[C:9](=[O;D1;H0:10])-[O;D1;H1:11],3
882,[#8:1]-[CH2;D2;+0:2]-[C:6].[O;D1;H0:4]=[C;H0;D2;+0:3]=[O;H0;D1;+0:5]>>[#8:1]-[C@H;D3;+0:2](-[C;H0;D3;+0:3](=[O;D1;H0:4])-[OH;D1;+0:5])-[C:6],3
883,[#8;a:1]:[c:2]-[CH;D2;+0:3]=[O;D1;H0:4].[C;D1;H3:6]-[CH;D2;+0:5]=[O;H0;D1;+0:7]>>[#8;a:1]:[c:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[CH;D3;+0:5](-[C;D1;H3:6])-[OH;D1;+0:7],3
884,[C:1]-[CH;D3;+0:2](-[C:7](=[O;D1;H0:8])-[O;D1;H1:9])-[CH;D3;+0:3](-[NH;D2;+0:11]-[N;D1;H2:10])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>[C:1]/[C;H0;D3;+0:2](=[CH;D2;+0:3]\[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9].[N;D1;H2:10]-[NH2;D1;+0:11],3
885,[C:1]/[C;H0;D3;+0:2](=[CH;D2;+0:6]\[C:9](=[O;D1;H0:10])-[O;D1;H1:11])-[C:3](=[O;D1;H0:4])-[O;D1;H1:5].[N;D1;H2:8]-[NH2;D1;+0:7]>>[C:1]-[CH;D3;+0:2](-[C:3](=[O;D1;H0:4])-[O;D1;H1:5])-[CH;D3;+0:6](-[NH;D2;+0:7]-[N;D1;H2:8])-[C:9](=[O;D1;H0:10])-[O;D1;H1:11],3
886,[#7;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[NH2;D1;+0:5])=[O;H0;D1;+0:6]>>[#7;a:1]:[c:2]:[c:3]-[C;H0;D2;+0:4]#[N;H0;D1;+0:5].[OH2;D0;+0:6],3
887,[C;D1;H3:1]-[C@H;D3;+0:2](-[c:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[O;D1;H0:8]=[C;H0;D2;+0:7]=[O;H0;D1;+0:9]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[c:3])(-[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[C;H0;D3;+0:7](=[O;D1;H0:8])-[OH;D1;+0:9],3
888,[#16;a:1]:[c:2]-[CH2;D2;+0:3]-[CH;D3;+0:4](-[NH2;D1;+0:8])-[C:5](=[O;D1;H0:6])-[O;D1;H1:7]>>[#16;a:1]:[c:2]/[CH;D2;+0:3]=[CH;D2;+0:4]/[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[NH3;D0;+0:8],3
889,[C:1]-[CH;D2;+0:2]=[O;D1;H0:3].[C:5]-[CH;D2;+0:4]=[O;H0;D1;+0:6]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C@@H;D3;+0:4](-[C:5])-[OH;D1;+0:6],3
890,[#7;+:1]-[CH2;D2;+0:2]-[C@@H;D3;+0:4](-[OH;D1;+0:3])-[c:5]>>[#7;+:1]-[CH3;D1;+0:2].[O;H0;D1;+0:3]=[CH;D2;+0:4]-[c:5],3
891,[C:1]-[C@@H;D3;+0:2](-[OH;D1;+0:3])-[C@H;D3;+0:6](-[O;D1;H1:7])-[C:5]=[O;D1;H0:4]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[O;D1;H0:4]=[C:5]-[CH2;D2;+0:6]-[O;D1;H1:7],3
892,[N;D1;H2:1]-[CH2;D2;+0:2]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5].[O;H0;D1;+0:7]=[CH;D2;+0:6]-[c:8]>>[N;D1;H2:1]-[C@H;D3;+0:2](-[C:3](=[O;D1;H0:4])-[O;D1;H1:5])-[CH;D3;+0:6](-[OH;D1;+0:7])-[c:8],3
893,[C:1]-[C@H;D3;+0:2](-[OH;D1;+0:3])-[C@H;D3;+0:6](-[O;D1;H1:7])-[C:5]=[O;D1;H0:4]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[O;D1;H0:4]=[C:5]-[CH2;D2;+0:6]-[O;D1;H1:7],3
894,[#15:1]-[OH;D1;+0:2].[C:6]-[C;H0;D4;+0:5](-[C;D1;H3:7])(-[OH;D1;+0:8])-[CH;D2;+0:4]=[CH2;D1;+0:3]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]/[CH;D2;+0:4]=[C;H0;D3;+0:5](/[C:6])-[C;D1;H3:7].[OH2;D0;+0:8],3
895,[#8;a:1]:[c:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[CH;D3;+0:6](-[C;D1;H3:5])-[OH;D1;+0:7]>>[#8;a:1]:[c:2]-[CH;D2;+0:3]=[O;D1;H0:4].[C;D1;H3:5]-[CH;D2;+0:6]=[O;H0;D1;+0:7],3
896,[#16;a:1]:[c:2]/[CH;D2;+0:3]=[CH;D2;+0:4]/[C:6](=[O;D1;H0:7])-[O;D1;H1:8].[NH3;D0;+0:5]>>[#16;a:1]:[c:2]-[CH2;D2;+0:3]-[CH;D3;+0:4](-[NH2;D1;+0:5])-[C:6](=[O;D1;H0:7])-[O;D1;H1:8],3
897,[O;D1;H0:6]=[C:7](-[O;D1;H1:8])-[C:9]-[CH2;D2;+0:10]-[c;H0;D3;+0:4]1:[c:5]:[#7;a:1]:[c:2]:[c:3]:1.[OH2;D0;+0:11]>>[#7;a:1]1:[c:2]:[c:3]:[cH;D2;+0:4]:[c:5]:1.[O;D1;H0:6]=[C:7](-[O;D1;H1:8])-[C:9]-[CH2;D2;+0:10]-[OH;D1;+0:11],3
898,[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[O;D1;H0:7]=[C:6]-[CH2;D2;+0:4]-[O;D1;H1:5]>>[C:1]-[C@H;D3;+0:2](-[OH;D1;+0:3])-[C@H;D3;+0:4](-[O;D1;H1:5])-[C:6]=[O;D1;H0:7],3
899,[#7;a:1]:[c:2]:[c:3]-[CH3;D1;+0:4].[O;D1;H0:6]=[C;H0;D2;+0:5]=[O;H0;D1;+0:7]>>[#7;a:1]:[c:2]:[c:3]-[CH2;D2;+0:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[OH;D1;+0:7],3
900,[C:1]-[C@H;D3;+0:2](-[C:7](=[O;D1;H0:8])-[O;D1;H1:9])-[C@@H;D3;+0:3](-[OH;D1;+0:10])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>[C:1]/[C;H0;D3;+0:2](=[CH;D2;+0:3]/[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9].[OH2;D0;+0:10],3
901,[C:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3].[OH2;D0;+0:4]>>[C:1]-[CH;D2;+0:2]=[N;H0;D2;+0:3]-[OH;D1;+0:4],3
902,[C:1]-[C@@;H0;D4;+0:2](-[OH;D1;+0:10])(-[CH2;D2;+0:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9]>>[C:1]/[C;H0;D3;+0:2](=[CH;D2;+0:3]/[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9].[OH2;D0;+0:10],3
903,[O;D1;H0:3]=[C:2](-[CH;D2;+0:1]=[CH;D2;+0:8]-[c:9])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[OH2;D0;+0:7]>>[CH3;D1;+0:1]-[C:2](=[O;D1;H0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[O;H0;D1;+0:7]=[CH;D2;+0:8]-[c:9],3
904,[C:7]-[NH;D2;+0:8]-[C@H;D3;+0:2](-[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[C:1].[NH3;D0;+0:3]>>[C:1]-[C@H;D3;+0:2](-[NH2;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[NH2;D1;+0:8],3
905,[C:7]-[CH2;D2;+0:6]-[N;D1;H2:8].[C:1]/[C:2]=[C:3]/[CH;D2;+0:4]=[O;H0;D1;+0:5]>>[C:1]/[C:2]=[C:3]/[C@@H;D3;+0:4](-[OH;D1;+0:5])-[C@H;D3;+0:6](-[C:7])-[N;D1;H2:8],3
906,[C:1]-[C@H;D3;+0:2](-[NH;D2;+0:5]-[C:4])-[c;H0;D3;+0:7](:[c:6]):[c:8].[OH2;D0;+0:3]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[C:4]-[NH2;D1;+0:5].[c:6]:[cH;D2;+0:7]:[c:8],3
907,[C:1]-[CH2;D2;+0:2]-[#7:3]-[C:4]=[O;D1;H0:5].[O;D1;H0:7]=[C;H0;D2;+0:6]=[O;H0;D1;+0:8]>>[C:1]-[C@H;D3;+0:2](-[#7:3]-[C:4]=[O;D1;H0:5])-[C;H0;D3;+0:6](=[O;D1;H0:7])-[OH;D1;+0:8],3
908,[NH3;D0;+0:1].[O;D1;H0:6]=[C:5](-[O;D1;H1:7])/[CH;D2;+0:2]=[CH;D2;+0:3]/[c:4]>>[NH2;D1;+0:1]-[CH;D3;+0:2](-[CH2;D2;+0:3]-[c:4])-[C:5](=[O;D1;H0:6])-[O;D1;H1:7],3
909,[C:3]-[C;H0;D4;+0:4](-[C;D1;H3:5])(-[OH;D1;+0:6])-[C;H0;D2;+0:1]#[N;D1;H0:2]>>[CH;D1;+0:1]#[N;D1;H0:2].[C:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[O;H0;D1;+0:6],3
910,[C:1]/[C;H0;D3;+0:2](=[CH;D2;+0:6]/[C:8](=[O;D1;H0:9])-[O;D1;H1:10])-[C:3](=[O;D1;H0:4])-[O;D1;H1:5].[OH2;D0;+0:7]>>[C:1]-[C@H;D3;+0:2](-[C:3](=[O;D1;H0:4])-[O;D1;H1:5])-[C@@H;D3;+0:6](-[OH;D1;+0:7])-[C:8](=[O;D1;H0:9])-[O;D1;H1:10],3
911,[NH2;D1;+0:1]-[CH;D3;+0:5](-[CH2;D2;+0:6]-[c:7])-[C:3](=[O;D1;H0:2])-[O;D1;H1:4]>>[NH3;D0;+0:1].[O;D1;H0:2]=[C:3](-[O;D1;H1:4])/[CH;D2;+0:5]=[CH;D2;+0:6]/[c:7],3
912,[#7;a:1]:[c;H0;D3;+0:2](:[c:3])-[CH;D3;+0:7](-[C:6])-[NH;D2;+0:5]-[C:4].[OH2;D0;+0:8]>>[#7;a:1]:[cH;D2;+0:2]:[c:3].[C:4]-[NH2;D1;+0:5].[C:6]-[CH;D2;+0:7]=[O;H0;D1;+0:8],3
913,[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:9].[NH3;D0;+0:3].[O;D1;H0:5]=[C;H0;D2;+0:4]=[O;H0;D1;+0:6].[OH;D1;+0:7]-[OH;D1;+0:8]>>[C:1]-[C@H;D3;+0:2](-[NH2;D1;+0:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:6].[O;H0;D1;+0:7]=[O;H0;D1;+0:8].[OH2;D0;+0:9],3
914,[CH;D1;+0:5]#[N;D1;H0:6].[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]>>[C:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[OH;D1;+0:4])-[C;H0;D2;+0:5]#[N;D1;H0:6],3
915,[C:1]-[SH;D1;+0:2].[C:4]1-[CH2;D2;+0:3]-[O;H0;D2;+0:5]-1>>[C:1]-[S;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4]-[OH;D1;+0:5],3
916,[#7;a:1]:[c:2]:[c:3]-[C;H0;D2;+0:4]#[N;H0;D1;+0:5].[OH2;D0;+0:6]>>[#7;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[NH2;D1;+0:5])=[O;H0;D1;+0:6],3
917,[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[O;D1;H0:7]=[C:6]-[CH2;D2;+0:4]-[O;D1;H1:5]>>[C:1]-[C@@H;D3;+0:2](-[OH;D1;+0:3])-[C@H;D3;+0:4](-[O;D1;H1:5])-[C:6]=[O;D1;H0:7],3
918,[N;D1;H2:1]-[C@H;D3;+0:2](-[C:3](=[O;D1;H0:4])-[O;D1;H1:5])-[CH;D3;+0:7](-[OH;D1;+0:6])-[c:8]>>[N;D1;H2:1]-[CH2;D2;+0:2]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5].[O;H0;D1;+0:6]=[CH;D2;+0:7]-[c:8],3
919,[C:1]-[C@@H;D3;+0:2](-[C:4]=[O;D1;H0:5])-[NH;D2;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10].[NH3;D0;+0:3]>>[C:1]-[C@H;D3;+0:2](-[NH2;D1;+0:3])-[C:4]=[O;D1;H0:5].[NH2;D1;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10],3
920,[N;H0;D1;+0:2]#[C;H0;D2;+0:3]-[c:4].[OH2;D0;+0:1]>>[OH;D1;+0:1]/[N;H0;D2;+0:2]=[CH;D2;+0:3]/[c:4],3
921,[#7;+:1]-[CH3;D1;+0:2].[O;H0;D1;+0:4]=[CH;D2;+0:3]-[c:5]>>[#7;+:1]-[CH2;D2;+0:2]-[C@@H;D3;+0:3](-[OH;D1;+0:4])-[c:5],3
922,[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4]-[#8:5]-[C:6]-[CH3;D1;+0:7].[OH2;D0;+0:8]>>[C:1]-[C@@H;D3;+0:2](-[OH;D1;+0:3])-[C:4]-[#8:5]-[C:6]-[CH2;D2;+0:7]-[OH;D1;+0:8],3
923,[CH3;D1;+0:6]-[c:7].[O;D1;H0:1]=[C:2](-[O;D1;H1:3])/[CH;D2;+0:4]=[CH;D2;+0:5]/[C:8](=[O;D1;H0:9])-[O;D1;H1:10]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH2;D2;+0:4]-[CH;D3;+0:5](-[CH2;D2;+0:6]-[c:7])-[C:8](=[O;D1;H0:9])-[O;D1;H1:10],3
924,[O;D1;H1:1]-[C@H;D3;+0:2]1-[C:3](-[C:10]-[CH2;D2;+0:8]-[O;D1;H1:9])-[#8:4]-[C:5]-[C@@H;D3;+0:6]-1-[O;D1;H1:7]>>[O;D1;H1:1]-[CH2;D2;+0:2]-[C:3]1-[#8:4]-[C:5]-[C@H;D3;+0:6](-[O;D1;H1:7])-[C@@H;D3;+0:8](-[O;D1;H1:9])-[C:10]-1,3
925,[C:1]-[CH2;D2;+0:2]-[C@H;D3;+0:4](-[CH3;D1;+0:3])-[N;D1;H2:5]>>[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[N;D1;H2:5],3
926,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])/[CH;D2;+0:4]=[CH;D2;+0:5]\[C:6]=[C:7]/[C:8](=[O;D1;H0:9])-[OH;D1;+0:10]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH2;D2;+0:4]-[CH;D3;+0:5]1-[C:6]=[C:7]-[C:8](=[O;D1;H0:9])-[O;H0;D2;+0:10]-1,3
927,[#8:1]-[C@@H;D3;+0:2](-[C:3])-[C@H;D3;+0:5](-[OH;D1;+0:6])-[C:4]>>[#8:1]-[CH2;D2;+0:2]-[C:3].[C:4]-[CH;D2;+0:5]=[O;H0;D1;+0:6],3
928,[NH2;D1;+0:1]-[CH;D3;+0:3](-[c:4])-[CH2;D2;+0:2]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7]>>[NH2;D1;+0:1]-[C@@H;D3;+0:2](-[CH2;D2;+0:3]-[c:4])-[C:5](=[O;D1;H0:6])-[O;D1;H1:7],3
929,[C:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3](=[CH;D2;+0:5]-[C:6]=[O;D1;H0:7])-[C:4]>>[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C:4])-[CH2;D2;+0:5]-[C:6]=[O;D1;H0:7],3
930,[#7:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:6](=[O;H0;D1;+0:7])-[C:5]-[C:4]-[OH;D1;+0:3]>>[#7:1]-[C@@H;D3;+0:2]1-[O;H0;D2;+0:3]-[C:4]-[C:5]-[C@H;D3;+0:6]-1-[OH;D1;+0:7],3
931,[C:1]/[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]/[C:5].[OH;D1;+0:6]-[c:7]>>[C:1]-[C@@;H0;D4;+0:2](-[C;D1;H3:3])(-[CH2;D2;+0:4]-[C:5])-[O;H0;D2;+0:6]-[c:7],3
932,[C:1]/[C:2]=[C:3]\[CH;D2;+0:4]=[CH;D2;+0:5]\[CH2;D2;+0:6]-[C:7]>>[C:1]/[C:2]=[C:3]\[CH2;D2;+0:4]/[CH;D2;+0:5]=[CH;D2;+0:6]\[C:7],3
933,[#15:1]-[OH;D1;+0:2].[C:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[NH;D2;+0:12]-[C:11].[O;D1;H0:4]=[P;H0;D4;+0:3](-[O;D1;H1:5])(-[O;D1;H1:6])-[OH;D1;+0:10]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[OH;D1;+0:10].[C:11]-[NH2;D1;+0:12],3
934,[#15:1]-[OH;D1;+0:2].[#7:7]-[C:8](=[O;D1;H0:9])-[C:10]-[NH;D2;+0:11]-[C;H0;D3;+0:13](-[C:12])=[O;D1;H0:14].[O;D1;H0:4]=[P;H0;D4;+0:3](-[O;D1;H1:5])(-[O;D1;H1:6])-[OH;D1;+0:15]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[#7:7]-[C:8](=[O;D1;H0:9])-[C:10]-[NH2;D1;+0:11].[C:12]-[C;H0;D3;+0:13](=[O;D1;H0:14])-[OH;D1;+0:15],3
935,[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:12].[C:13]-[S;H0;D2;+0:14]-[C;H0;D3;+0:10](=[O;D1;H0:11])-[C:9]-[C:8]=[C;D1;H2:7]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C;D1;H2:7]=[C:8]-[C:9]-[C;H0;D3;+0:10](=[O;D1;H0:11])-[OH;D1;+0:12].[C:13]-[SH;D1;+0:14],3
936,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:4](-[#8:3])(=[O;D1;H0:5])-[O;D1;H1:6].[C;D1;H2:14]=[C:13]-[C:12]-[C;H0;D3;+0:10](=[O;D1;H0:11])-[OH;D1;+0:7].[C:8]-[SH;D1;+0:9]>>[#15:1]-[OH;D1;+0:2].[#8:3]-[P;H0;D4;+0:4](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:7].[C:8]-[S;H0;D2;+0:9]-[C;H0;D3;+0:10](=[O;D1;H0:11])-[C:12]-[C:13]=[C;D1;H2:14],3
937,[#15:1]-[OH;D1;+0:2].[C:11]-[S;H0;D2;+0:12]-[C;H0;D3;+0:8](-[C:7])=[O;D1;H0:9].[O;D1;H0:4]=[P;H0;D4;+0:3](-[O;D1;H1:5])(-[O;D1;H1:6])-[OH;D1;+0:10]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[OH;D1;+0:10].[C:11]-[SH;D1;+0:12],3
938,[#15:1]-[OH;D1;+0:2].[#8;a:7]:[c:8]:[c:9]-[NH;D2;+0:10]-[C;H0;D3;+0:12](=[O;D1;H0:11])-[c:14].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:13]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[#8;a:7]:[c:8]:[c:9]-[NH2;D1;+0:10].[O;D1;H0:11]=[C;H0;D3;+0:12](-[OH;D1;+0:13])-[c:14],3
939,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:9](=[O;D1;H0:8])(-[O;D1;H1:10])-[O;D1;H1:11].[C;D1;H3:6]-[C;H0;D3;+0:5](=[O;D1;H0:7])-[OH;D1;+0:12].[C:3]-[SH;D1;+0:4]>>[#15:1]-[OH;D1;+0:2].[C:3]-[S;H0;D2;+0:4]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[O;D1;H0:7].[O;D1;H0:8]=[P;H0;D4;+0:9](-[O;D1;H1:10])(-[O;D1;H1:11])-[OH;D1;+0:12],3
940,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:4](-[#8:3])(=[O;D1;H0:5])-[O;D1;H1:6].[C:8]-[C;H0;D3;+0:9](=[O;D1;H0:10])-[OH;D1;+0:7].[C:12]-[NH2;D1;+0:11]>>[#15:1]-[OH;D1;+0:2].[#8:3]-[P;H0;D4;+0:4](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:7].[C:8]-[C;H0;D3;+0:9](=[O;D1;H0:10])-[NH;D2;+0:11]-[C:12],3
941,[#15:1]-[OH;D1;+0:2].[C:11]-[S;H0;D2;+0:12]-[C;H0;D3;+0:8](-[C;D1;H3:7])=[O;D1;H0:9].[O;D1;H0:4]=[P;H0;D4;+0:3](-[O;D1;H1:5])(-[O;D1;H1:6])-[OH;D1;+0:10]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C;D1;H3:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[OH;D1;+0:10].[C:11]-[SH;D1;+0:12],3
942,[#1;H0;D0;+1].[#8:1]-[C:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[C:5]=[C:6].[#8:7]-[C:8]-[N;H0;D3;+0:9]1-[CH;D2;+0:10]=[CH;D2;+0:11]-[CH2;D2;+0:12]-[C;H0;D3;+0:13](-[C:14](-[N;D1;H2:15])=[O;D1;H0:16])=[CH;D2;+0:17]-1>>[#8:1]-[C:2]-[C@@H;D3;+0:3](-[OH;D1;+0:4])-[C:5]=[C:6].[#8:7]-[C:8]-[n+;H0;D3:9]1:[cH;D2;+0:10]:[cH;D2;+0:11]:[cH;D2;+0:12]:[c;H0;D3;+0:13](-[C:14](-[N;D1;H2:15])=[O;D1;H0:16]):[cH;D2;+0:17]:1,2
943,[#1;H0;D0;+1].[#7;a:1]:[c:2]:[#7;a:3]:[c;H0;D3;+0:4](-[OH;D1;+0:17]):[#7;a:5].[#8:6]-[C:7]-[N;H0;D3;+0:8]1-[CH;D2;+0:9]=[C;H0;D3;+0:10](-[C:11](-[N;D1;H2:12])=[S;D1;H0:13])-[CH2;D2;+0:14]-[CH;D2;+0:15]=[CH;D2;+0:16]-1>>[#7;a:1]:[c:2]:[#7;a:3]:[cH;D2;+0:4]:[#7;a:5].[#8:6]-[C:7]-[n+;H0;D3:8]1:[cH;D2;+0:9]:[c;H0;D3;+0:10](-[C:11](-[N;D1;H2:12])=[S;D1;H0:13]):[cH;D2;+0:14]:[cH;D2;+0:15]:[cH;D2;+0:16]:1.[OH2;D0;+0:17],2
944,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C;D1;H3:12]-[C@@H;D3;+0:13](-[NH2;D1;+0:18])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17].[OH2;D0;+0:14]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C;D1;H3:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17].[NH3;D0;+0:18],2
